Sample_idx,Station,Depth,He,Ne,Ar,Kr,Xe,He err,Ne err,Ar err,Kr err,Xe err,He sat,Ne sat,Ar sat,Kr sat,Xe sat,He sat err,Ne sat err,Ar sat err,Kr sat err,Xe sat err,He3/He4,He3/He4 err,T,S,p
0,5,28.47016337,4.2232586099E-08,1.8743231838E-07,0.00039470515468,9.8654890487E-08,1.5054452424E-08,3.0424277055E-10,1.126089092E-09,0.0000019752362889,2.3351670398E-09,1.3106591017E-10,2.5678203975,1.1273840548,-2.4913806175,-1.8557172367,-3.581732155,0.73889668452,0.6075710159,0.48796566551,2.3230809251,0.83942927158,0.99496114038,0.016080257082,-1.545321855,34.02689981,1
1,5,98.92659273,4.1995151184E-08,1.8761108016E-07,0.00039154538065,9.6863399707E-08,1.4617938712E-08,3.0078788454E-10,1.1593598541E-09,0.0000019460055924,2.3521983261E-09,1.3531609158E-10,2.7796123765,2.5792900119,-0.52169365976,-0.36776828225,-2.5133443705,0.73615313455,0.63389811836,0.494413547,2.4194357144,0.90241951895,1.0213499199,0.015318054792,-0.642212884,34.51654568,1
2,5,296.9473792,4.0427818096E-08,0.0000001795463775,0.00036438644006,8.6954937028E-08,1.3040290034E-08,2.9292497281E-10,1.0786998151E-09,0.0000016320117789,1.118747077E-09,1.1120622524E-10,0.24575927222,0.7681947106,-1.6235479239,-3.7015434617,-4.8092193625,0.72634358449,0.60540699573,0.44060785722,1.2389591719,0.81177698995,1.0417493457,0.017108028877,1.592818667,34.87876659,1
3,5,494.5481263,3.7089368676E-08,1.7881236545E-07,0.00036403882789,8.949330787E-08,1.3526505576E-08,1.2545369438E-09,1.0932303627E-09,0.0000011609868138,1.0103330211E-09,1.2252640725E-10,-8.2000925095,-0.071409659457,-2.7689879561,-2.198832558,-2.8639194941,3.1051047643,0.61094750794,0.31008759018,1.104124446,0.87988245684,1.013214152,0.032085421617,1.159780397,34.91262678,1
4,5,692.0560526,4.0391475847E-08,1.7991848205E-07,0.00037262711124,9.1475269981E-08,1.3793299716E-08,4.1406513254E-10,1.5879427825E-09,0.0000018595737143,1.1097807325E-09,1.1360407463E-10,-0.40069215922,-0.27009307879,-2.4289942819,-2.4350544801,-3.8653024167,1.0210223751,0.88020632506,0.48692237371,1.1836608597,0.79178250196,1.0426358158,0.016326601688,0.392731134,34.90318953,1
5,5,987.4908462,4.1236717878E-08,1.8150561778E-07,0.00038069984281,9.2585308609E-08,1.3953695254E-08,2.966209179E-10,1.0775883962E-09,0.0000017067813033,1.1179278532E-09,1.2049445981E-10,1.3654767441,-0.076210944577,-1.9496603381,-3.2304221097,-5.140731499,0.72913467177,0.59324177898,0.43958643449,1.1684511084,0.81913902433,1.026596006,0.016497650333,-0.240731524,34.90546993,1
6,5,1478.968168,4.1224187472E-08,1.8128301332E-07,0.00038321503608,9.4557536949E-08,1.437418395E-08,4.181389003E-10,8.4231032335E-10,9.8639491798E-07,8.4114836228E-10,1.3478846451E-10,1.1262181881,-0.6495397669,-2.3735999359,-2.4806383194,-3.8776553129,1.0257280557,0.4616202961,0.25129020476,0.86749564355,0.90135087251,1.059603011,0.014518915213,-0.657062701,34.91538929,1
7,5,1969.315623,4.1253397813E-08,1.8343898434E-07,0.00038532704655,9.5625474954E-08,1.4485516216E-08,2.9610542695E-10,1.2109706851E-09,9.8693747046E-07,8.3674851903E-10,1.2471974925E-10,1.1167070209,0.35402444712,-2.2538624743,-1.8930192861,-3.7550667983,0.725787627,0.66248612408,0.25035700603,0.8584623591,0.82866525135,1.0353358412,0.01471617011,-0.819533934,34.92129671,1
8,5,2458.758942,4.300620042E-08,1.8826574982E-07,0.00038936757403,9.5564549533E-08,1.4430888557E-08,2.2062267761E-10,8.8013447703E-10,7.7281740527E-07,8.3915969909E-10,1.0057269702E-10,5.3799508561,2.9201516527,-1.4037676497,-2.168424889,-4.375333214,0.54060127834,0.48114738839,0.19569396513,0.85906662599,0.6664337128,1.0622234518,0.014914812545,-0.888111311,34.92824889,1
9,5,2947.597802,4.3039706127E-08,1.8859410851E-07,0.00038887552989,9.5813552286E-08,1.4583072005E-08,4.3433682454E-10,1.6314054039E-09,0.0000017486479939,1.6284505693E-09,1.8207308428E-10,5.4512457856,3.0722759542,-1.5952946283,-1.9959319058,-3.4678110006,1.0641652409,0.89161145764,0.44249426208,1.6656806545,1.2052270864,1.0486542985,0.025379248669,-0.915583264,34.93495735,1
10,5,3910.299467,4.3399433641E-08,1.8956087719E-07,0.00039026148057,9.583015223E-08,1.459825527E-08,2.2387727218E-10,8.8941647892E-10,0.0000010034123579,8.0904769433E-10,1.0281919791E-10,6.3361887448,3.6037377528,-1.2420458916,-1.9769136825,-3.3656863981,0.54853839955,0.48610701216,0.25391937593,0.82756157776,0.68061987076,1.0199649134,0.014589005667,-0.916494397,34.94135377,1
11,8,29.75149432,4.0882397598E-08,1.8860749483E-07,0.0004144304251,1.0424101283E-07,1.5849944569E-08,2.8001643712E-10,1.1396134379E-09,0.000001305459496,1.1964917588E-09,1.4143500867E-10,-1.1122569798,1.2519873406,1.5780922412,2.803958199,0.50813048697,0.67731334517,0.61178971434,0.31997188689,1.1799970609,0.89687179946,0.98498567145,0.014347331977,-1.675421696,33.47240735,1
12,8,99.10104584,4.1232245398E-08,1.8822753514E-07,0.00039340406201,9.8230300474E-08,1.4700386137E-08,2.8209967841E-10,1.119186976E-09,1.23499930693E-06,1.0509182467E-09,1.2474997865E-10,-1.0459699286,2.167725901,-1.6815727963,1.6629971472,-1.7692138651,3.3044190727,0.86228593508,0.70983797389,3.066442483,3.6507599128,1.0606642918,0.041600821255,-0.895010633,34.39143464,1
13,8,296.7392011,4.1144941814E-08,1.7773519106E-07,0.00036826123874,8.7197099589E-08,1.3172471899E-08,3.0902521859E-10,1.5114643001E-09,0.0000013424655277,9.1842088811E-10,1.3726494726E-10,1.7666529382,-0.79331856995,-1.8970619623,-5.0050376477,-5.7620717219,0.76433361631,0.84365598296,0.35762605083,1.000553437,0.98201494406,1.067086538,0.027189811527,1.072497138,34.86418486,1
14,8,494.506771,4.0490283915E-08,1.8063556459E-07,0.00037212795151,9.047502759E-08,1.3614672023E-08,2.1264577182E-10,5.9928731955E-10,9.5249787992E-07,8.0703720008E-10,1.548624835E-10,-0.053841749453,0.36531395775,-1.9844679049,-2.8001290561,-4.258681223,0.5248945156,0.3329779499,0.25088033872,0.86702279937,1.0890264836,1.0311598051,0.019679047833,0.624922709,34.88677707,1
15,8,690.786058,4.232438377E-08,1.8295561449E-07,0.00037583890158,9.2449545926E-08,1.3958479963E-08,2.5954561416E-10,2.5135064402E-09,9.6674304572E-07,9.7413942569E-10,1.4628958944E-10,4.245829045,1.1667795519,-2.1590762351,-2.094906252,-3.5603641244,0.63926619393,1.3898636161,0.25166908545,1.0316244481,1.0107199907,0.9829977361,0.038642779223,0.172165458,34.89263696,1
16,8,988.1447356,4.1555967978E-08,1.8594942258E-07,0.00038243615759,9.1413406773E-08,1.4028944368E-08,4.3656053628E-10,1.233754896E-09,0.0000013891397578,1.6225357251E-09,2.2505519074E-10,1.8351618603,2.4011515877,-1.4280787286,-1.2295617635,-4.519407611,0.52453252344,0.67942088971,0.35804714624,1.2644708448,1.5317191635,1.0282866721,0.024325931416,-0.210829668,34.90146011,1
17,8,1479.814036,4.0532383962E-08,1.8226074831E-07,0.00038629196449,9.5101791965E-08,1.4308359102E-08,4.1158850133E-10,1.604559083E-09,7.6738277244E-07,8.3881421905E-10,1.0345814036E-10,-0.52474606129,-0.012714534097,-1.3508311236,-1.6282323149,-3.9678468534,1.0101273768,0.88025265214,0.19597009431,0.86765596928,0.69437088545,1.0585680987,0.014988548357,-0.565184932,34.91411563,1
18,8,1970.417214,0.0000000411404032,1.8285498346E-07,0.00038652882567,9.5455663448E-08,1.4504140175E-08,4.2901385872E-10,1.209662601E-09,0.0000013948975508,8.3641478551E-10,1.0248932669E-10,0.87284994231,0.10631345197,-1.7802428119,-1.8612391177,-3.3814221091,1.0519063312,0.66224535537,0.35445350938,0.85992499207,0.6827273368,1.0386255841,0.014563644387,-0.75448101,34.9199713,1
19,8,2459.812922,4.1695235192E-08,1.8462310211E-07,0.00039054475477,9.5331162029E-08,1.4507098296E-08,3.0127083807E-10,1.6170649113E-09,0.0000017422463965,1.128947732E-09,1.3728642601E-10,2.1773645654,0.95190926073,-1.0492861578,-2.3388714574,-3.7867764503,0.73828724344,0.88421106749,0.44142578415,1.156540078,0.91050390137,1.056490703,0.01771030518,-0.865679692,34.92471731,1
20,8,2840.567937,4.2575608124E-08,1.8375974472E-07,0.00039106642532,9.6220064335E-08,1.4526157015E-08,9.4205988035E-10,1.550519296E-09,0.0000012424167618,1.2191624466E-09,1.2745785928E-10,4.3198880109,0.44442266282,-1.0049112435,-1.5358901956,-3.7908433037,2.3082601881,0.8475252061,0.31450707513,1.2475957674,0.84417462531,1.0689768882,0.017065689359,-0.900903904,34.93139118,1
21,8,2889.072459,4.1141387779E-08,0.0000001852307731,0.00038893790866,9.6824048241E-08,1.4542341331E-08,2.810989684E-10,1.1119773961E-09,0.000001741561286,1.1572125512E-09,1.3339851767E-10,0.80511262035,1.2465857964,-1.5487629989,-0.92414602139,-3.6913430893,0.68875200125,0.60780351424,0.44083865087,1.1841254712,0.88345004274,1.0495022971,0.017752364041,-0.903078773,34.93226485,1
22,16,29.45964658,4.304326176E-08,0.0000001895209421,0.00041611671547,1.0497626118E-07,1.6203822974E-08,4.2699272056E-10,1.5973863596E-09,0.0000025683926959,1.0779767786E-09,1.3116923556E-10,3.926519542,1.54801378,1.7495712911,3.2798223344,2.4896459113,1.0309596788,0.85590230957,0.62802777683,1.0605564432,0.82964918391,0.96062794782,0.028952055726,-1.676502992,33.17349573,1
23,16,98.81147186,3.9827476551E-08,1.8604629919E-07,0.00039705941264,9.8509506204E-08,1.4821155957E-08,1.3370136788E-09,1.5672738047E-09,0.0000028678831962,2.9195973582E-09,5.4102216816E-10,-3.1255016712,0.56688855052,-1.626557314,-1.6898573189,-4.7332389205,3.2520897784,0.84718616135,0.71053231394,2.9136886775,3.4775580111,1.0561756289,0.041909674855,-1.500679022,34.24053821,1
24,16,296.8147005,3.992681824E-08,1.8082466138E-07,0.00036613501114,0.0000000889309647,1.3212511142E-08,2.736621116E-10,1.075047064E-09,0.0000016406144891,9.75182347E-10,1.2346559343E-10,-1.1759882809,1.0828855716,-2.1103373264,-2.686327091,-4.9611886109,0.67734893278,0.60096260391,0.43863382093,1.0671038627,0.88809940224,1.0334562315,0.018911337864,1.211038615,34.87360805,1
25,16,494.1225872,4.2282706427E-08,0.0000001869351225,0.00037331164242,8.9993542662E-08,1.3583050118E-08,4.440904722E-10,1.2400793119E-09,0.0000013510182632,1.5954588957E-09,2.1680465917E-10,4.5104794762,4.1650530724,-0.98618621091,-2.4896112183,-3.4756351975,1.0976617181,0.6910040532,0.35833190167,1.7287220017,1.5406651549,0.91445838656,0.037608570223,0.892326665,34.89564116,1
26,16,691.226781,4.036910617E-08,1.8134435135E-07,0.00037646890647,9.2064437645E-08,1.3727426137E-08,4.2799997877E-10,1.2084173023E-09,0.0000013697904408,1.6000133027E-09,2.2643658391E-10,-0.50410395657,0.42213191574,-1.6474923702,-2.0786635613,-4.6487313892,1.0548720404,0.66917905543,0.35785777382,1.7018019653,1.572837859,1.0269282386,0.038878729116,0.308601011,34.89103853,1
27,16,987.0985638,4.2456172655E-08,1.8753555337E-07,0.00037873870101,9.326290188E-08,1.4138491144E-08,4.1782807625E-10,2.5656230364E-09,0.0000011856050888,8.692184218E-10,1.1374302916E-10,4.4317892271,3.3930436261,-2.1124949371,-2.1031873985,-3.3753295381,1.0277547613,1.4144921844,0.30642742299,0.91240687597,0.77733773695,1.0090684695,0.015208612077,-0.106570165,34.90282231,1
28,16,1969.221408,4.0757765695E-08,1.8350610476E-07,0.00038714425718,9.4716017994E-08,1.455804452E-08,4.2862859426E-10,1.2203786561E-09,9.9996179694E-07,9.9301434175E-10,1.2654760569E-10,-0.037630269029,0.52199796192,-1.4864149181,-2.4557809068,-2.8190247155,1.0512531609,0.6685058295,0.25445249345,1.0226655487,0.84475766813,1.0228032795,0.013400462223,-0.702339256,34.92139936,1
29,16,2946.896201,4.1140507318E-08,1.8317139244E-07,0.00038664015774,9.5592681788E-08,1.4679887379E-08,4.2864683075E-10,1.2133224228E-09,0.0000014037416978,7.4897013155E-10,1.2387689996E-10,0.8033258883,0.12346642378,-2.122687428,-2.1743396403,-2.7680638529,1.0502793715,0.66321517375,0.35535487502,0.76646555299,0.82049613297,1.0248409275,0.012916118954,-0.899363959,34.92966108,1
30,16,3434.23702,4.0990204423E-08,1.8426424794E-07,0.00038864711139,9.7167381858E-08,1.4810406983E-08,1.3685142693E-09,1.5563786454E-09,0.0000019725042467,9.8583760602E-10,1.2349403862E-10,0.42690948399,0.69885756347,-1.6702680981,-0.63252269801,-1.9891083988,3.3528902963,0.85054780448,0.49905378958,1.0081592615,0.81724701058,1.0537122634,0.015881973962,-0.92249054,34.93618206,1
31,16,3920.302221,4.1196693682E-08,1.8242800638E-07,0.00039033207895,9.6587179854E-08,1.4479964024E-08,2.9373146426E-10,1.6058956801E-09,0.000001043121685,1.1677313322E-09,1.2867124012E-10,0.93363550067,-0.30641819438,-1.2519007711,-1.2364118978,-4.1891961553,0.71965446495,0.87759273113,0.26389397443,1.194043935,0.85138988795,1.0491346519,0.014773146747,-0.927063281,34.94150323,1
32,16,4335.690235,4.2414007079E-08,0.000000185144824,0.0003902654711,9.5620296421E-08,1.4485379022E-08,3.8532167108E-10,1.5639036522E-09,0.0000033910351449,9.384520928E-10,1.1828535798E-10,3.9180863762,1.1819954923,-1.2605606116,-2.2152900491,-4.1416275888,0.94407233495,0.85467629538,0.85795166099,0.95969442819,0.78276459862,1.0142490956,0.015106913121,-0.924142071,34.94214988,1
33,20,29.912123,4.2267419901E-08,1.9171607908E-07,0.00042456770535,1.0593237386E-07,1.5933558977E-08,9.4655829537E-10,1.0402730208E-09,0.0000021357628594,8.0286138659E-10,1.6000477639E-10,1.7760475681,2.4168700475,3.4055992399,3.7908913057,0.32825963901,2.2792250467,0.55572546287,0.52017578239,0.78663109184,1.0074962393,1.0063318574,0.025779075415,-1.69747033,32.74107859,1
34,20,242.4192417,4.0844831813E-08,1.7745656764E-07,0.00036506109701,8.8550297921E-08,1.310498784E-08,5.4627136792E-10,3.4576821621E-09,0.0000021440900114,1.0671315456E-09,2.134443204E-10,1.1754847236,-0.61734561899,-1.9441319138,-2.5465687608,-5.067042337,1.3531521122,1.9364379456,0.57590526366,1.1744244022,1.5461975913,1.0152103635,0.026786081915,1.403279913,34.85878803,1
35,20,493.9807019,4.1021054968E-08,1.7911647423E-07,0.00037086235126,9.1455897258E-08,1.3593101469E-08,3.8820752219E-10,1.0668081955E-09,0.0000015363304419,7.366185757E-10,1.3673233524E-10,1.4240842022,-0.11699654834,-1.4501293821,-0.67401778385,-3.1261573044,0.95983861092,0.59489785701,0.40825164853,0.80000706071,0.97444919141,1.0292195154,0.018571676864,0.968112822,34.88787459,1
36,20,691.2720548,4.1340719434E-08,1.8977577329E-07,0.00037814650776,9.2710383952E-08,1.3833503757E-08,5.51208446E-10,8.3849439353E-10,8.2091159299E-07,6.4568886804E-10,1.1067336437E-10,1.9554937305,5.2397925541,-0.86778973439,-0.97318971357,-3.4096872625,1.3594037556,0.46498546417,0.21520436914,0.68968012334,0.77275974793,1.0033833505,0.015385684525,0.442406877,34.88788302,1
37,20,1478.651821,4.1287336983E-08,1.8268714011E-07,0.00038322189424,9.5064577753E-08,1.4250639645E-08,3.038766137E-10,8.1037338478E-10,9.8167853358E-07,8.4755069566E-10,1.1413923603E-10,1.3724116077,0.31482902855,-1.9172455152,-1.3998375274,-4.0357652446,0.7461054021,0.44498188265,0.25125321919,0.87907229245,0.76861703855,1.0460972141,0.015827322745,-0.481789332,34.91606849,1
38,20,1969.280111,4.1436270549E-08,,0.00039517904947,9.3829640389E-08,1.4445577388E-08,3.4575271769E-10,,9.9226439389E-07,1.2737617647E-09,1.7374158671E-10,1.6539455312,,0.68501419845,-3.2206488275,-3.388679373,0.84822131589,,0.25281237637,1.3138048555,1.1619753014,1.0751198519,0.020800695476,-0.656523321,34.92719964,1
39,20,2458.615708,4.0579245115E-08,1.8300373729E-07,0.00038650256723,9.4921614535E-08,1.4376059786E-08,4.2615049469E-10,1.216477564E-09,0.000001397516932,1.6494800978E-09,2.3597452636E-10,-0.54244120303,0.099651945172,-1.9953451745,-2.6636386409,-4.541228864,1.0444720635,0.66539067756,0.35436547165,1.6914418453,1.5668993201,0.9410670879,0.10715582106,-0.835470316,34.92378212,1
40,20,3434.110064,4.1577566491E-08,1.8206764215E-07,0.00038289992819,0.0000000953515266,1.4461257738E-08,2.4520923295E-10,1.540058357E-09,0.000001945275062,2.0302650642E-09,3.5786769435E-10,1.8676591044,-0.49841153546,-3.1174547717,-2.4811455166,-4.2896667713,0.60077807961,0.84165561239,0.49219962007,2.0764127269,2.3685101876,1.0522220974,0.016401531245,-0.920012951,34.93681576,1
