Station,Depth,He,Ne,Ar,Kr,Xe,He err,Ne err,Ar err,Kr err,Xe err,He sat,Ne sat,Ar sat,Kr sat,Xe sat,He sat err,Ne sat err,Ar sat err,Kr sat err,Xe sat err,He3/He4,He3/He4 err,T,S,p,Sample_idx,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err,chi2,chi2_reduced
5,28.47016337,4.2232586099e-08,1.8743231838e-07,0.00039470515468,9.8654890487e-08,1.5054452424e-08,3.0424277055e-10,1.126089092e-09,1.9752362889e-06,2.3351670398e-09,1.3106591017e-10,2.5678203975,1.1273840548,-2.4913806175,-1.8557172367,-3.581732155,0.73889668452,0.6075710159,0.48796566551,2.3230809251,0.83942927158,0.99496114038,0.016080257082,-1.545321855,34.02689981,1.0,0.0,4.2278059506269513e-08,1.8715101135190245e-07,0.0003954835182234,9.73812295156135e-08,1.502564674533678e-08,4.5203059493825387e-10,1.566097481436025e-09,6.131137424003084e-06,1.7977748895684334e-09,2.937062521359627e-10,0.585820955793078,0.292910477896539
5,98.92659273,4.1995151184e-08,1.8761108016e-07,0.00039154538065,9.6863399707e-08,1.4617938712e-08,3.0078788454e-10,1.1593598541e-09,1.9460055924e-06,2.3521983261e-09,1.3531609158e-10,2.7796123765,2.5792900119,-0.52169365976,-0.36776828225,-2.5133443705,0.73615313455,0.63389811836,0.494413547,2.4194357144,0.90241951895,1.0213499199,0.015318054792,-0.642212884,34.51654568,1.0,1.0,4.1985630649623664e-08,1.8765144448889306e-07,0.0003915988960755,9.600841213705924e-08,1.4627210999385614e-08,4.533941148054105e-10,1.607653221279801e-09,6.362513312592885e-06,1.8664280454518396e-09,3.0090435174842955e-10,0.13978665030771262,0.06989332515385631
5,296.9473792,4.0427818096e-08,1.795463775e-07,0.00036438644006,8.6954937028e-08,1.3040290034e-08,2.9292497281e-10,1.0786998151e-09,1.6320117789e-06,1.118747077e-09,1.1120622524e-10,0.24575927222,0.7681947106,-1.6235479239,-3.7015434617,-4.8092193625,0.72634358449,0.60540699573,0.44060785722,1.2389591719,0.81177698995,1.0417493457,0.017108028877,1.592818667,34.87876659,1.0,2.0,4.038541058376392e-08,1.798405327854115e-07,0.000363551771318,8.778859262090672e-08,1.3057366177626988e-08,4.0419721378131787e-10,1.424020827590988e-09,5.515078858989067e-06,1.5983413119253102e-09,2.4965743818120645e-10,0.9357431044567315,0.46787155222836574
5,494.5481263,3.7089368676e-08,1.7881236545e-07,0.00036403882789,8.949330787e-08,1.3526505576e-08,1.2545369438e-09,1.0932303627e-09,1.1609868138e-06,1.0103330211e-09,1.2252640725e-10,-8.2000925095,-0.071409659457,-2.7689879561,-2.198832558,-2.8639194941,3.1051047643,0.61094750794,0.31008759018,1.104124446,0.87988245684,1.013214152,0.032085421617,1.159780397,34.91262678,1.0,3.0,4.044431670616785e-08,1.776799163956337e-07,0.0003651411099168,8.868615055299253e-08,1.3407857695229804e-08,5.6334489256646e-10,1.8966027374319488e-09,8.413272084133993e-06,2.446613892165659e-09,3.8717051025704386e-10,10.702024632715599,5.351012316357799
5,692.0560526,4.0391475847e-08,1.7991848205e-07,0.00037262711124,9.1475269981e-08,1.3793299716e-08,4.1406513254e-10,1.5879427825e-09,1.8595737143e-06,1.1097807325e-09,1.1360407463e-10,-0.40069215922,-0.27009307879,-2.4289942819,-2.4350544801,-3.8653024167,1.0210223751,0.88020632506,0.48692237371,1.1836608597,0.79178250196,1.0426358158,0.016326601688,0.392731134,34.90318953,1.0,4.0,4.043811380831188e-08,1.795641446942787e-07,0.000373226913494,9.102515064658477e-08,1.3783562491341256e-08,5.260023154058923e-10,1.8114607266411802e-09,6.829430079162663e-06,1.98869059043333e-09,3.145749827108926e-10,0.33836864795275456,0.16918432397637728
5,987.4908462,4.1236717878e-08,1.8150561778e-07,0.00038069984281,9.2585308609e-08,1.3953695254e-08,2.966209179e-10,1.0775883962e-09,1.7067813033e-06,1.1179278532e-09,1.2049445981e-10,1.3654767441,-0.076210944577,-1.9496603381,-3.2304221097,-5.140731499,0.72913467177,0.59324177898,0.43958643449,1.1684511084,0.81913902433,1.026596006,0.016497650333,-0.240731524,34.90546993,1.0,5.0,4.106451770603645e-08,1.824380637261159e-07,0.0003791165970748,9.26172491119902e-08,1.406219175689986e-08,4.2117219025032614e-10,1.470469153695592e-09,5.771644080576171e-06,1.684832388000169e-09,2.6978889710210664e-10,2.757850131364925,1.3789250656824625
5,1478.968168,4.1224187472e-08,1.8128301332e-07,0.00038321503608,9.4557536949e-08,1.437418395e-08,4.181389003e-10,8.4231032335e-10,9.8639491798e-07,8.4114836228e-10,1.3478846451e-10,1.1262181881,-0.6495397669,-2.3735999359,-2.4806383194,-3.8776553129,1.0257280557,0.4616202961,0.25129020476,0.86749564355,0.90135087251,1.059603011,0.014518915213,-0.657062701,34.91538929,1.0,6.0,4.1056664884875885e-08,1.8152594535177444e-07,0.0003831345816764,9.408580323174869e-08,1.4449399162848696e-08,4.1918753398220265e-10,1.457708940205982e-09,6.414135853371269e-06,1.8820649511762508e-09,3.071087324413963e-10,0.8762563907635164,0.4381281953817582
5,1969.315623,4.1253397813e-08,1.8343898434e-07,0.00038532704655,9.5625474954e-08,1.4485516216e-08,2.9610542695e-10,1.2109706851e-09,9.8693747046e-07,8.3674851903e-10,1.2471974925e-10,1.1167070209,0.35402444712,-2.2538624743,-1.8930192861,-3.7550667983,0.725787627,0.66248612408,0.25035700603,0.8584623591,0.82866525135,1.0353358412,0.01471617011,-0.819533934,34.92129671,1.0,7.0,4.1256063019266445e-08,1.8326103150203198e-07,0.0003856932831592,9.468435188217783e-08,1.4499390554107997e-08,4.3337689802467564e-10,1.526820432996228e-09,5.844141666374087e-06,1.7129413389050427e-09,2.7962263698246817e-10,1.4367901530502265,0.7183950765251133
5,2458.758942,4.300620042e-08,1.8826574982e-07,0.00038936757403,9.5564549533e-08,1.4430888557e-08,2.2062267761e-10,8.8013447703e-10,7.7281740527e-07,8.3915969909e-10,1.0057269702e-10,5.3799508561,2.9201516527,-1.4037676497,-2.168424889,-4.375333214,0.54060127834,0.48114738839,0.19569396513,0.85906662599,0.6664337128,1.0622234518,0.014914812545,-0.888111311,34.92824889,1.0,8.0,4.2878096757089456e-08,1.8907231180432619e-07,0.0003890209205069,9.515455448714861e-08,1.4538930326254453e-08,3.3582464939440563e-10,1.1809406405047086e-09,4.50213263981286e-06,1.3164027959882414e-09,2.1495677585975734e-10,2.77091183267403,1.385455916337015
5,2947.597802,4.3039706127e-08,1.8859410851e-07,0.00038887552989,9.5813552286e-08,1.4583072005e-08,4.3433682454e-10,1.6314054039e-09,1.7486479939e-06,1.6284505693e-09,1.8207308428e-10,5.4512457856,3.0722759542,-1.5952946283,-1.9959319058,-3.4678110006,1.0641652409,0.89161145764,0.44249426208,1.6656806545,1.2052270864,1.0486542985,0.025379248669,-0.915583264,34.93495735,1.0,9.0,4.3013040469471355e-08,1.887027143251884e-07,0.0003889403886629,9.521511657430433e-08,1.4607161791233153e-08,6.302727521860483e-10,2.186203073506625e-09,8.362977239576569e-06,2.4449698722873162e-09,4.0017372931126445e-10,0.16212954480362035,0.08106477240181018
