Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
0.0,5.0,28.47016337,4.2278357261282574e-08,1.8714950275728036e-07,0.00039548501859059553,9.737608084628602e-08,1.5025776887712042e-08,4.452183913766903e-10,1.5423079563168557e-09,6.103613737569792e-06,1.7968559823425623e-09,2.9446572014479076e-10
10.0,5.0,3910.299467,4.3343731951457966e-08,1.8989174289482269e-07,0.0003900965498679773,9.5461204615703e-08,1.464910437017102e-08,3.373693116961697e-10,1.1658006581365266e-09,4.482103041584915e-06,1.3159531637014722e-09,2.163073313479842e-10
11.0,8.0,29.75149432,4.08781823432865e-08,1.8854994470685989e-07,0.0004147691416444561,1.0317231172436557e-07,1.5862890094924993e-08,4.264232531210455e-10,1.5892775489699949e-09,6.651784920174016e-06,1.982921810276878e-09,3.244351217841775e-10
12.0,8.0,99.10104584,4.1323851383436227e-08,1.8752099344669657e-07,0.00039439425528680434,9.67946717334039e-08,1.4653326464387928e-08,4.002895609445282e-10,1.4625605837596034e-09,5.9194063218325995e-06,1.7496715710327037e-09,2.81956983961055e-10
13.0,8.0,296.7392011,4.0914778883872304e-08,1.8031990747622233e-07,0.00036619533405194966,8.868164574300672e-08,1.3324367825171115e-08,5.078546376891569e-10,1.7769282492685416e-09,6.650914187369394e-06,1.939849585005798e-09,3.106894544621958e-10
14.0,8.0,494.506771,4.0494408236631124e-08,1.8062322559080417e-07,0.000372142438982346,9.049553043370805e-08,1.3605790433334577e-08,2.9966944293831733e-10,1.0869275666604426e-09,4.685878023712562e-06,1.3764391966967113e-09,2.2243696258015108e-10
15.0,8.0,690.786058,4.2294757715876706e-08,1.836914619000804e-07,0.00037593986023658004,9.161125660950752e-08,1.4012655958334137e-08,6.068021802397603e-10,2.0893764541592273e-09,7.3066640694601674e-06,2.134626402496869e-09,3.5222795606854635e-10
16.0,8.0,988.1447356,4.154779974868383e-08,1.8605456588965167e-07,0.0003820820663017413,9.308033129294766e-08,1.401103869429675e-08,5.635555913407383e-10,2.039130025693495e-09,8.756081186332048e-06,2.5772426049601386e-09,4.1513754004306326e-10
17.0,8.0,1479.814036,4.040348074620612e-08,1.8292816182668985e-07,0.00038626110867302495,9.474161142849268e-08,1.4341080824647544e-08,4.4426653391362806e-10,1.605281936600651e-09,5.939565544017922e-06,1.7502823230680121e-09,2.8122338319297517e-10
18.0,8.0,1970.417214,4.104499371130499e-08,1.8308094052128162e-07,0.00038662730523013333,9.497294876935581e-08,1.4529614689288952e-08,4.348257630166847e-10,1.5041148066570612e-09,6.075056885474255e-06,1.7864788392235665e-09,2.866719524473778e-10
19.0,8.0,2459.812922,4.159393320433417e-08,1.8584597789187832e-07,0.0003894875851579784,9.556980781553064e-08,1.4581345180257805e-08,5.213511670466905e-10,1.8424668560220705e-09,7.001104886850688e-06,2.0608212612670146e-09,3.3399014665510995e-10
1.0,5.0,98.92659273,4.1985968097032395e-08,1.876491133495439e-07,0.0003916040675167241,9.60057658892131e-08,1.4626920803716875e-08,4.404029930592373e-10,1.5558196409085385e-09,6.214346782405306e-06,1.829850418199564e-09,2.9560242714194686e-10
20.0,8.0,2840.567937,4.120058299675887e-08,1.852174252889047e-07,0.0003905250987027083,9.593544108504112e-08,1.4618464215565342e-08,6.041227429881481e-10,2.1169558011058023e-09,8.72821856746308e-06,2.5718333061936542e-09,4.104003277661047e-10
21.0,8.0,2889.072459,4.11439406818929e-08,1.8512567458377227e-07,0.00038968710236516983,9.56623789578003e-08,1.4551963677437913e-08,4.28538334270067e-10,1.535578276414941e-09,6.181261756372081e-06,1.8234560236871639e-09,2.946902714634586e-10
22.0,16.0,29.45964658,4.282065727530422e-08,1.9055724025116454e-07,0.00041610234424675345,1.0362866535042548e-07,1.6291214797049317e-08,5.708943579898016e-10,1.935254329850402e-09,7.649693370387552e-06,2.2613169183926344e-09,3.7165528674202094e-10
23.0,16.0,98.81147186,4.00950088811593e-08,1.8588867007341555e-07,0.00039753102658525,9.782654124168265e-08,1.4697285358520888e-08,1.148864042882725e-09,4.432518434175647e-09,2.3255044311975225e-05,6.924189658272573e-09,1.1030652096833678e-09
24.0,16.0,296.8147005,4.0010636940511275e-08,1.8029515872377306e-07,0.0003670443999775203,8.876504084888537e-08,1.3151466367400563e-08,3.981368834427356e-10,1.4428786499165884e-09,5.83102935638599e-06,1.7067992835651925e-09,2.6801331500363657e-10
25.0,16.0,494.1225872,4.233879907807147e-08,1.8676933691481922e-07,0.00037340324217319433,9.027399693071573e-08,1.3525404695619601e-08,5.561370149232862e-10,1.96929340339116e-09,8.20701143125687e-06,2.4012729036444023e-09,3.8596202868355475e-10
26.0,16.0,691.226781,4.0327556944175245e-08,1.8146081696631028e-07,0.0003764253976920595,9.172741752553803e-08,1.3775268138761854e-08,5.551235952055913e-10,2.024708104441339e-09,8.75598234486177e-06,2.576955817102728e-09,4.1353865778920764e-10
27.0,16.0,987.0985638,4.254510707235838e-08,1.855816546597453e-07,0.0003793433773271366,9.246938728216615e-08,1.4123171516863467e-08,5.748399212970145e-10,1.9630449755814697e-09,6.6075111731974515e-06,1.9277326547065563e-09,3.13333892858094e-10
28.0,16.0,1969.221408,4.0876456398047445e-08,1.8316694604327584e-07,0.00038720350159283435,9.511363205990193e-08,1.4515776341634977e-08,4.591264936749933e-10,1.6306373414677766e-09,6.610963271072454e-06,1.9485652352924675e-09,3.1580555451258095e-10
29.0,16.0,2946.896201,4.123422952303915e-08,1.8279127956980173e-07,0.0003872341650202928,9.526047374540559e-08,1.465756281860432e-08,4.693378980516103e-10,1.6209035664015073e-09,6.540806161755131e-06,1.924211119567119e-09,3.131366654910316e-10
2.0,5.0,296.9473792,4.038665094011664e-08,1.7983385039402835e-07,0.0003635664884748458,8.778615305339067e-08,1.3056164338975462e-08,4.016230908474927e-10,1.4160179201688622e-09,5.648131973386368e-06,1.6471108286539355e-09,2.5858795619303295e-10
30.0,16.0,3434.23702,4.143580891071557e-08,1.838051857107108e-07,0.00039009717182279926,9.607765963414333e-08,1.48096945934158e-08,6.766319778425996e-10,2.2621031272521155e-09,9.466727789182307e-06,2.7817127360656144e-09,4.4348472930389374e-10
31.0,16.0,3920.302221,4.1018044479896804e-08,1.8445287636462594e-07,0.00038991385949554514,9.582445732853678e-08,1.4609193220526969e-08,4.806045017585847e-10,1.7273210233067831e-09,6.5659998661744766e-06,1.9369125857804713e-09,3.153457082922289e-10
32.0,16.0,4335.690235,4.2209250471853274e-08,1.8641144558027208e-07,0.00038784909020891115,9.506500248115385e-08,1.456576997781496e-08,5.519244126223477e-10,1.8564910228761763e-09,7.140542326805737e-06,2.091517123144618e-09,3.3277149177233853e-10
33.0,20.0,29.912123,4.090378928474846e-08,1.922711409997959e-07,0.00042389819817205204,1.0550460698737468e-07,1.60592585689749e-08,5.637462048286547e-10,2.1307440396732105e-09,1.0964097714930162e-05,3.28439220056096e-09,5.194424271882894e-10
34.0,20.0,242.4192417,4.068397451770989e-08,1.7982771038247428e-07,0.0003647197327878649,8.822959223295895e-08,1.3212990185381491e-08,9.133780703169758e-10,3.2088397759540194e-09,1.1536950540433475e-05,3.3615049976818424e-09,5.356880380065913e-10
35.0,20.0,493.9807019,4.0809434849281665e-08,1.796037839449017e-07,0.00037115747950015963,9.041046135704038e-08,1.372583152876863e-08,4.597714009850318e-10,1.5820038392357276e-09,6.583008414619176e-06,1.9257878826003542e-09,3.0980623453966584e-10
