Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
0.0,5.0,28.47016337,4.227871931957737e-08,1.8714871942902456e-07,0.00039548037812084966,9.737460968655339e-08,1.5026170887770642e-08,4.460862270300417e-10,1.5500635658408212e-09,6.194508821402298e-06,1.8249918029056689e-09,2.979556268275135e-10
10.0,5.0,3910.299467,4.334251793451973e-08,1.8989707347691078e-07,0.0003900974543676668,9.546025673417167e-08,1.4648865732742783e-08,3.360249668675102e-10,1.1671411809796516e-09,4.5203113315365355e-06,1.3282929685651102e-09,2.1781066374262117e-10
11.0,8.0,29.75149432,4.087250992038382e-08,1.8858996049068636e-07,0.0004147323752018359,1.0314728245460798e-07,1.587064441675654e-08,4.296843142654457e-10,1.5451945208619751e-09,6.197194122149184e-06,1.8372014922756575e-09,3.027141791167376e-10
12.0,8.0,99.10104584,4.131147113593774e-08,1.8758586351889614e-07,0.0003943714546744384,9.677014927329155e-08,1.4657393664158967e-08,4.1019444371453606e-10,1.4460573414457694e-09,5.6260350760325716e-06,1.6537121881005715e-09,2.682818622325586e-10
13.0,8.0,296.7392011,4.0917800916503055e-08,1.8030550680910835e-07,0.00036618407884725883,8.868089052448513e-08,1.3326765262043425e-08,5.014226177110604e-10,1.7422573318766263e-09,6.400873721753938e-06,1.8644484120326068e-09,2.9952924347762025e-10
14.0,8.0,494.506771,4.0492677470992515e-08,1.806284406804933e-07,0.00037213562532393776,9.049126763091505e-08,1.3608995046076461e-08,3.004539747410136e-10,1.0650091099211864e-09,4.503624598271272e-06,1.3193566061984182e-09,2.141307656002191e-10
15.0,8.0,690.786058,4.22928163823508e-08,1.837353305710729e-07,0.00037594377592828327,9.160418533380388e-08,1.401161775905392e-08,5.976860998247529e-10,2.0889144698439435e-09,7.435245895661948e-06,2.1775089206672564e-09,3.5816730844413745e-10
16.0,8.0,988.1447356,4.154130900911648e-08,1.860735132154004e-07,0.0003820705505658778,9.307039537885513e-08,1.4015934554747244e-08,5.620604132062792e-10,1.9693851241310927e-09,8.191420137762469e-06,2.401299713759912e-09,3.889950896276895e-10
17.0,8.0,1479.814036,4.040035250762432e-08,1.8296770505492317e-07,0.00038624859161285723,9.472788421073039e-08,1.4345735313075924e-08,4.552986906056355e-10,1.604014024005069e-09,5.814417548001865e-06,1.705685337363411e-09,2.7554807062705324e-10
18.0,8.0,1970.417214,4.104573440640666e-08,1.8308043677596245e-07,0.00038662390960806297,9.497197668717158e-08,1.4530011443651067e-08,4.3910148601728374e-10,1.5126980526657713e-09,5.9834747108431e-06,1.757795124625858e-09,2.8266459889616196e-10
