Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
0.0,5.0,28.47016337,4.2271382393965365e-08,1.871568448765719e-07,0.00039562718499176085,9.742545348110134e-08,1.5014121887672576e-08,4.5611477783844175e-10,1.3834025378628961e-09,4.601981699135902e-06,1.320455655319022e-09,2.2535991315620883e-10
10.0,5.0,3910.299467,4.3371854818298234e-08,1.8975118699709415e-07,0.0003901221303427692,9.550469269822109e-08,1.4645051252404012e-08,3.5512332176111665e-10,1.0753674603015076e-09,3.4153186467794145e-06,9.77191860807301e-10,1.6646154936033758e-10
11.0,8.0,29.75149432,4.084374776685078e-08,1.888359731194743e-07,0.0004144230560471546,1.0296479747520314e-07,1.593644498181584e-08,4.453301750312412e-10,1.4030763041947749e-09,4.583618804502224e-06,1.3220476686119772e-09,2.2737255057645842e-10
12.0,8.0,99.10104584,4.125320344338416e-08,1.8795466960530418e-07,0.00039409722077185657,9.65835179318105e-08,1.470918422042879e-08,4.3163009886184137e-10,1.3317703402609253e-09,4.211086955410796e-06,1.2039445114424823e-09,2.03482769207544e-10
13.0,8.0,296.7392011,4.096835710792511e-08,1.8005637939130387e-07,0.0003660065763470909,8.86736236911548e-08,1.3364347907891222e-08,5.322986210014209e-10,1.6340458465831728e-09,4.84707258688943e-06,1.3744672926545421e-09,2.2968157498914024e-10
14.0,8.0,494.506771,4.048032486059368e-08,1.8067320205797756e-07,0.00037204558297317206,9.044287318143835e-08,1.3653247445332996e-08,2.884464899544952e-10,8.688993998240177e-10,3.0593245764031706e-06,8.74800668504051e-10,1.4756472432951235e-10
15.0,8.0,690.786058,4.231401481477475e-08,1.8314327478514335e-07,0.0003759357318200646,9.17197135778038e-08,1.4005731391433501e-08,6.845772682723984e-10,2.1237216759306848e-09,6.115118680831847e-06,1.7438249434632207e-09,2.9644279227961375e-10
16.0,8.0,988.1447356,4.1506024712566714e-08,1.8619891536534124e-07,0.0003819442196447873,9.298800591989818e-08,1.4072708976743535e-08,5.67674986136447e-10,1.6947259175486788e-09,5.857287357387616e-06,1.6736123235109135e-09,2.820566575625293e-10
17.0,8.0,1479.814036,4.0367856931139476e-08,1.8335468435736138e-07,0.0003861290487162306,9.45978341824692e-08,1.4389836075045249e-08,5.071635989977902e-10,1.5676700818207426e-09,4.7590696110179815e-06,1.3558643177954629e-09,2.273257213129846e-10
18.0,8.0,1970.417214,4.106724785643193e-08,1.83070274723573e-07,0.0003865126983041261,9.493820602052159e-08,1.4543043998646399e-08,4.803470405414146e-10,1.4175818068014712e-09,4.694178416592091e-06,1.3371825569977469e-09,2.2318822923233987e-10
