,Event,Date/Time,Latitude,Longitude,Bottle,Press [dbar],Depth,Temp [°C],QF water temp,Tpot [°C],QF Tpot,Tcon [°C],QF Tcon,Sal,QF sal,ASAL [g/kg],QF ASAL,Density [kg/m**3],QF rho,DO [ml/l],O2 [µmol/kg],QF O2,F chl [µg/l],QF F chl,fCDOM,QF fCDOM,He [cm**3/g],Ne [cm**3/g],Ar [cm**3/g],Kr [cm**3/g],Xe [cm**3/g],He std dev [±],Ne std dev [±],Ar std dev [±],Kr std dev [±],Xe std dev [±],ΔHe [%],ΔNe [%],ΔAr [%],ΔKr [%],ΔXe [%],ΔHe std dev [±],ΔNe std dev [±],ΔAr std dev [±],ΔKr std dev [±],ΔXe std dev [±],3He/4He [atm],3He/4He std dev [±],sigma0 [kg/m**3]
0,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,1,3989.5,3910.299467,-0.65955,1,-0.916494397,1,-0.915088265,1,34.94135377,1,35.1103111,1,1046.379373,1,6.74265021,296.3455356,1,,9,,9,4.34e-08,1.896e-07,0.0003903,9.583e-08,1.46e-08,2.2e-10,8.9e-10,1e-06,8.1e-10,1e-10,6.3,3.6,-1.2,-2.0,-3.4,0.5,0.5,0.3,0.8,0.7,1.02,0.015,28.107116856051334
1,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,3,3000.6,2947.597802,-0.7488,1,-0.915583264,1,-0.91415887,1,34.93495735,1,35.10383054,1,1042.001172,1,6.795414951,297.8310338,1,-0.001194718,1,0.008916,1,4.304e-08,1.886e-07,0.0003889,9.581e-08,1.458e-08,4.3e-10,1.6e-09,1.7e-06,1.6e-09,1.8e-10,5.5,3.1,-1.6,-2.0,-3.5,1.1,0.9,0.4,1.7,1.2,1.049,0.025,28.10185735118216
2,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,2500.1,2458.758942,-0.7601,1,-0.888111311,1,-0.886700739,1,34.92824889,1,35.09700069,1,1039.738436,1,6.818236774,298.3520379,1,-0.002082718,1,0.009154,1,4.301e-08,1.883e-07,0.0003894,9.556e-08,1.443e-08,2.2e-10,8.8e-10,7.7e-07,8.4e-10,1e-10,5.4,2.9,-1.4,-2.2,-4.4,0.5,0.5,0.2,0.9,0.7,1.062,0.015,28.095202029441907
3,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,7,2000.1,1969.315623,-0.7253,1,-0.819533934,1,-0.81818662,1,34.92129671,1,35.08987228,1,1037.450151,1,6.829476093,297.7719704,1,-0.001279154,1,0.009392,1,4.125e-08,1.834e-07,0.0003853,9.563e-08,1.449e-08,3e-10,1.2e-09,9.9e-07,8.4e-10,1.2e-10,1.1,0.4,-2.3,-1.9,-3.8,0.7,0.7,0.3,0.9,0.8,1.035,0.015,28.086538474299914
4,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,9,1500.3,1478.968168,-0.5914,1,-0.657062701,1,-0.655895828,1,34.91538929,1,35.08365982,1,1035.129625,1,6.862421882,298.0432028,1,-0.0014569,1,0.00963,1,4.122e-08,1.813e-07,0.0003832,9.456e-08,1.437e-08,4.2e-10,8.4e-10,9.9e-07,8.4e-10,1.3e-10,1.1,-0.6,-2.4,-2.5,-3.9,1.0,0.5,0.3,0.9,0.9,1.06,0.015,28.07436030327267
5,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,11,1000.5,987.4908462,-0.1981,1,-0.240731524,1,-0.240035826,1,34.90546993,1,35.0730252,1,1032.768048,1,6.959371731,301.3053768,1,0.002253719,1,0.009868,1,4.124e-08,1.815e-07,0.0003807,9.259e-08,1.395e-08,3e-10,1.1e-09,1.7e-06,1.1e-09,1.2e-10,1.4,-0.1,-1.9,-3.2,-5.1,0.7,0.6,0.4,1.2,0.8,1.027,0.016,28.045784794268002
6,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,13,700.7,692.0560526,0.4244,1,0.392731134,1,0.392668146,1,34.90318953,1,35.07030938,1,1031.313586,1,6.958856953,300.4478601,1,0.001430809,1,0.009868,1,4.039e-08,1.799e-07,0.0003726,9.148e-08,1.379e-08,4.1e-10,1.6e-09,1.9e-06,1.1e-09,1.1e-10,-0.4,-0.3,-2.4,-2.4,-3.9,1.0,0.9,0.5,1.2,0.8,1.043,0.016,28.008673375253466
7,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,15,500.5,494.5481263,1.1847,1,1.159780397,1,1.158736579,1,34.91262678,1,35.07954253,1,1030.317993,1,6.925482182,298.4228332,1,0.000774591,1,0.009868,1,3.709e-08,1.788e-07,0.000364,8.949e-08,1.353e-08,1.3e-09,1.1e-09,1.2e-06,1e-09,1.2e-10,-8.2,-0.1,-2.8,-2.2,-2.9,3.1,0.6,0.3,1.1,0.9,1.013,0.032,27.96666061879978
8,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,17,300.4,296.9473792,1.6083,1,1.592818667,1,1.591483585,1,34.87876659,1,35.04532212,1,1029.318391,1,6.93277487,300.8387803,1,-5.88e-05,1,0.009868,1,4.043e-08,1.795e-07,0.0003644,8.695e-08,1.304e-08,2.9e-10,1.1e-09,1.6e-06,1.1e-09,1.1e-10,0.2,0.8,-1.6,-3.7,-4.8,0.7,0.6,0.4,1.2,0.8,1.042,0.017,27.90807752792466
9,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,19,100.0,98.92758159,-0.63925,1,-0.642212884,1,-0.639713627,1,34.51654568,1,34.68111305,1,1028.227833,1,7.621633576,331.4583534,1,-0.002761635,1,0.011296,1,4.2e-08,1.876e-07,0.0003915,9.686e-08,1.462e-08,3e-10,1.2e-09,1.9e-06,2.4e-09,1.4e-10,2.8,2.6,-0.5,-0.4,-2.5,0.7,0.6,0.5,2.4,0.9,1.021,0.015,27.749699316022543
10,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,21,28.8,28.47016337,-1.54475,1,-1.545321855,1,-1.541343055,1,34.02689981,1,34.18891857,1,1027.526221,1,8.304057557,365.2128046,1,0.089,1,0.010344,1,4.223e-08,1.874e-07,0.0003947,9.865e-08,1.505e-08,3e-10,1.1e-09,2e-06,2.3e-09,1.3e-10,2.6,1.1,-2.5,-1.9,-3.6,0.7,0.6,0.5,2.3,0.8,0.995,0.016,27.38649932720159
11,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,1,2940.7,2889.072459,-0.74095,1,-0.903078773,1,-0.901662116,1,34.93226485,1,35.10117905,1,1041.728904,1,6.755004881,297.1889698,1,,9,,9,4.114e-08,1.852e-07,0.0003889,9.682e-08,1.454e-08,2.8e-10,1.1e-09,1.7e-06,1.2e-09,1.3e-10,0.8,1.2,-1.5,-0.9,-3.7,0.7,0.6,0.4,1.2,0.9,1.05,0.018,28.099197584629792
12,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,3,2891.0,2840.567937,-0.7428,1,-0.900903904,1,-0.8994873,1,34.93139118,1,35.10029283,1,1041.50385,1,6.750200287,296.9760236,1,,9,0.008916,1,4.258e-08,1.838e-07,0.0003911,9.622e-08,1.453e-08,9.4e-10,1.6e-09,1.2e-06,1.2e-09,1.3e-10,4.3,0.4,-1.0,-1.5,-3.8,2.3,0.8,0.3,1.2,0.8,1.069,0.017,28.098392331082778
13,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,5,2501.3,2459.812922,-0.73715,1,-0.865679692,1,-0.864286382,1,34.92471731,1,35.09350219,1,1039.737579,1,6.783403465,297.5472074,1,,9,0.009154,1,4.17e-08,1.846e-07,0.0003905,9.533e-08,1.451e-08,3e-10,1.6e-09,1.7e-06,1.1e-09,1.4e-10,2.2,1.0,-1.0,-2.3,-3.8,0.7,0.9,0.4,1.2,0.9,1.056,0.018,28.09143506428859
14,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,7,2001.3,1970.417214,-0.6591,1,-0.75448101,1,-0.753210102,1,34.9199713,1,35.08857418,1,1037.446932,1,6.785033596,296.262829,1,,9,0.00963,1,4.114e-08,1.829e-07,0.0003865,9.546e-08,1.45e-08,4.3e-10,1.2e-09,1.4e-06,8.4e-10,1e-10,0.9,0.1,-1.8,-1.9,-3.4,1.1,0.7,0.4,0.9,0.7,1.039,0.015,28.08266278318729
15,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,9,1501.2,1479.814036,-0.4983,1,-0.565184932,1,-0.56412668,1,34.91411563,1,35.08234937,1,1035.124814,1,6.855729769,299.7898784,1,,9,0.009868,1,4.053e-08,1.823e-07,0.0003863,9.51e-08,1.431e-08,4.1e-10,1.6e-09,7.7e-07,8.4e-10,1e-10,-0.5,0.0,-1.4,-1.6,-4.0,1.0,0.9,0.2,0.9,0.7,1.059,0.015,28.06908861469742
16,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,11,1001.3,988.1447356,-0.16795,1,-0.210829668,1,-0.210153753,1,34.90146011,1,35.0689011,1,1032.762341,1,6.968466142,303.0579099,1,,9,0.009868,1,4.156e-08,1.859e-07,0.0003824,9.141e-08,1.403e-08,4.4e-10,1.2e-09,1.4e-06,1.6e-09,2.3e-10,2.2,2.4,-1.4,-4.4,-4.5,1.1,0.7,0.4,1.7,1.5,0.863,0.039,28.040942859939605
